Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Christian Nørgaard,Brentford,7.26,2513,31,0.07,0.3,41.9,1.8,1.9,0.2,0.0,8.0,0.0,0.0,0.0358137684042976,0.2148826104257859,christian norgaard,brentford,MF,0.008355310314826
Diogo Jota,Liverpool,7.25,1150,21,0.78,1.6,22.4,1.0,0.5,0.1,0.0,1.0,1.0,0.0,0.2347826086956522,0.3130434782608696,diogo jota,liverpool,FW,0.0087543373724876
Morgan Gibbs-White,Nottingham Forest,7.24,3160,37,0.14,0.4,28.1,0.7,0.5,0.2,0.0,9.0,0.0,0.0,0.2848101265822785,0.4556962025316455,morgan gibbs-white,nottingham forest,MF,0.0074784513134972
Morgan Gibbs-White,Nottingham Forest,7.24,3160,37,0.14,0.4,28.1,0.7,0.5,0.2,0.0,9.0,0.0,0.0,0.2848101265822785,0.4556962025316455,morgan gibbs-white,nottingham forest,FW,0.002868944588093
Bryan Mbeumo,Brentford,7.23,1959,25,0.41,0.9,21.6,0.5,0.3,0.1,0.0,2.0,0.0,0.0,0.2756508422664624,0.2756508422664624,bryan mbeumo,brentford,MF,0.0005202837545407
Bryan Mbeumo,Brentford,7.23,1959,25,0.41,0.9,21.6,0.5,0.3,0.1,0.0,2.0,0.0,0.0,0.2756508422664624,0.2756508422664624,bryan mbeumo,brentford,FW,0.0114379939474091
Oleksandr Zinchenko,Arsenal,7.22,1722,27,0.05,0.2,65.9,1.6,1.0,0.2,0.0,2.0,0.0,0.0,0.1045296167247386,0.2613240418118467,oleksandr zinchenko,arsenal,DF,0.0054262451308126
Diogo Dalot,Manchester United,7.2,3173,36,0.06,0.2,35.5,1.4,1.0,0.5,0.0,4.0,1.0,1.0,0.0850929719508351,0.1418216199180586,diogo dalot,manchester united,DF,0.0102832093126582
Marcos Senesi,Bournemouth,7.2,2247,31,0.16,0.2,39.6,1.3,1.4,0.9,0.0,13.0,0.0,0.0,0.2002670226969292,0.0801068090787717,marcos senesi,bournemouth,DF,0.0083799699446724
John McGinn,Aston Villa,7.19,3009,35,0.18,0.5,28.3,1.0,0.6,0.1,0.0,9.0,1.0,0.0,0.1196410767696909,0.2991026919242273,john mcginn,aston villa,MF,0.0092054640756997
John McGinn,Aston Villa,7.19,3009,35,0.18,0.5,28.3,1.0,0.6,0.1,0.0,9.0,1.0,0.0,0.1196410767696909,0.2991026919242273,john mcginn,aston villa,FW,0.0012908085512751
Harry Maguire,Manchester United,7.18,1650,22,0.11,0.2,49.9,0.9,1.4,1.3,0.0,4.0,0.0,0.0,0.109090909090909,0.109090909090909,harry maguire,manchester united,DF,0.0068491753308613
Nicolas Jackson,Chelsea,7.18,2804,35,0.45,1.3,16.5,0.4,0.1,0.2,0.0,10.0,0.0,0.0,0.1604850213980028,0.2567760342368045,nicolas jackson,chelsea,MF,0.0010401059291073
Nicolas Jackson,Chelsea,7.18,2804,35,0.45,1.3,16.5,0.4,0.1,0.2,0.0,10.0,0.0,0.0,0.1604850213980028,0.2567760342368045,nicolas jackson,chelsea,FW,0.0164170704230461
Antonee Robinson,Fulham,7.17,3270,37,0.0,0.2,34.0,1.6,2.2,0.2,0.0,6.0,0.0,0.0,0.1651376146788991,0.1651376146788991,antonee robinson,fulham,DF,0.0135229975900202
Ibrahima Konaté,Liverpool,7.16,1571,22,0.0,0.1,73.0,1.3,1.1,0.7,0.0,3.0,1.0,0.0,0.0,0.057288351368555,ibrahima konate,liverpool,DF,0.0058805166373757
Casemiro,Manchester United,7.16,1985,25,0.05,0.4,52.7,2.5,0.8,1.5,0.0,7.0,0.0,1.0,0.0906801007556675,0.0906801007556675,casemiro,manchester united,DF,0.0034113656255864
Casemiro,Manchester United,7.16,1985,25,0.05,0.4,52.7,2.5,0.8,1.5,0.0,7.0,0.0,1.0,0.0906801007556675,0.0906801007556675,casemiro,manchester united,MF,0.0051070763354399
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,DF,0.0010711389255125
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,MF,0.0077886577873951
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,FW,0.0007772020725388
Darwin Nunez,Liverpool,7.16,2046,36,0.48,2.0,14.6,0.5,0.1,0.3,0.0,9.0,0.0,0.0,0.3519061583577713,0.4838709677419355,darwin nunez,liverpool,FW,0.0183464788385641
Jefferson Lerma,Crystal Palace,7.15,2403,28,0.04,0.3,37.8,0.9,1.3,0.4,0.0,8.0,0.0,0.0,0.0374531835205992,0.1123595505617977,jefferson lerma,crystal palace,DF,0.0023366067148045
Jefferson Lerma,Crystal Palace,7.15,2403,28,0.04,0.3,37.8,0.9,1.3,0.4,0.0,8.0,0.0,0.0,0.0374531835205992,0.1123595505617977,jefferson lerma,crystal palace,MF,0.0075199495775614
Joao Palhinha,Fulham,7.15,2709,33,0.13,0.5,36.4,2.5,1.5,0.3,0.0,13.0,0.0,1.0,0.0332225913621262,0.0332225913621262,joao palhinha,fulham,MF,0.0073045825252642
James Garner,Everton,7.15,3005,37,0.03,0.3,27.6,1.3,1.3,0.4,0.0,7.0,0.0,0.0,0.059900166389351,0.2096505823627287,james garner,everton,MF,0.0076073435695598
Leon Bailey,Aston Villa,7.14,2072,35,0.43,0.8,23.8,0.3,0.4,0.0,0.0,5.0,0.0,0.0,0.3909266409266409,0.5212355212355212,leon bailey,aston villa,MF,0.005834692938376
Leon Bailey,Aston Villa,7.14,2072,35,0.43,0.8,23.8,0.3,0.4,0.0,0.0,5.0,0.0,0.0,0.3909266409266409,0.5212355212355212,leon bailey,aston villa,FW,0.0007772020725388
Ruben Dias,Manchester City,7.14,2557,30,0.0,0.3,86.4,0.7,1.1,0.6,0.0,0.0,0.0,1.0,0.0,0.0351974970668752,ruben dias,manchester city,DF,0.0088542626606357
Josh Cullen,Burnley,7.13,2059,25,0.09,0.2,50.8,1.3,0.7,0.8,0.0,9.0,0.0,0.0,0.1311316172899465,0.1311316172899465,josh cullen,burnley,MF,0.0082768880053811
Malo Gusto,Chelsea,7.13,1755,27,0.0,0.3,55.7,1.4,0.9,0.2,0.0,7.0,1.0,1.0,0.3076923076923077,0.4102564102564102,malo gusto,chelsea,DF,0.0051433152678252
Malo Gusto,Chelsea,7.13,1755,27,0.0,0.3,55.7,1.4,0.9,0.2,0.0,7.0,1.0,1.0,0.3076923076923077,0.4102564102564102,malo gusto,chelsea,MF,0.0021093247349775
James Tarkowski,Everton,7.13,3419,38,0.03,0.1,31.2,1.1,1.5,1.5,0.0,11.0,0.0,1.0,0.026323486399532,0.1316174319976601,james tarkowski,everton,DF,0.015864912137533
Jarrad Branthwaite,Everton,7.12,3117,35,0.09,0.1,31.7,0.9,1.4,1.0,0.0,8.0,0.0,1.0,0.0,0.0288739172281039,jarrad branthwaite,everton,DF,0.0141929616857096
Sergio Reguilon,Brentford,7.12,1534,25,0.0,0.1,28.7,1.6,1.2,0.4,0.0,7.0,1.0,1.0,0.2346805736636245,0.3520208604954368,sergio reguilon,brentford,DF,0.0037921661190828
Sergio Reguilon,Brentford,7.12,1534,25,0.0,0.1,28.7,1.6,1.2,0.4,0.0,7.0,1.0,1.0,0.2346805736636245,0.3520208604954368,sergio reguilon,brentford,MF,0.0016736849295644
Levi Colwill,Chelsea,7.1,1798,23,0.05,0.2,43.9,1.5,1.3,0.5,0.0,2.0,0.0,0.0,0.050055617352614,0.150166852057842,levi colwill,chelsea,DF,0.0071282908304948
Lewis Cook,Bournemouth,7.1,2792,33,0.0,0.1,35.2,1.3,2.1,0.4,0.0,5.0,1.0,0.0,0.0967048710601719,0.0967048710601719,lewis cook,bournemouth,DF,0.001118432658971
Lewis Cook,Bournemouth,7.1,2792,33,0.0,0.1,35.2,1.3,2.1,0.4,0.0,5.0,1.0,0.0,0.0967048710601719,0.0967048710601719,lewis cook,bournemouth,MF,0.008784724968794
Noni Madueke,Chelsea,7.1,1053,23,0.43,1.1,34.4,0.9,0.3,0.0,0.0,2.0,0.0,0.0,0.1709401709401709,0.1709401709401709,noni madueke,chelsea,MF,0.0029272583947302
Noni Madueke,Chelsea,7.1,1053,23,0.43,1.1,34.4,0.9,0.3,0.0,0.0,2.0,0.0,0.0,0.1709401709401709,0.1709401709401709,noni madueke,chelsea,FW,0.0024662041744203
Gabriel Martinelli,Arsenal,7.09,2029,35,0.27,1.0,30.4,1.1,0.2,0.0,0.0,1.0,0.0,0.0,0.177427304090685,0.3104977821586989,gabriel martinelli,arsenal,FW,0.014884287419903
Alejandro Garnacho,Manchester United,7.09,2573,36,0.24,1.0,23.2,0.5,0.6,0.1,0.0,4.0,0.0,0.0,0.1399144966964632,0.2098717450446949,alejandro garnacho,manchester united,MF,0.0058978404898906
Alejandro Garnacho,Manchester United,7.09,2573,36,0.24,1.0,23.2,0.5,0.6,0.1,0.0,4.0,0.0,0.0,0.1399144966964632,0.2098717450446949,alejandro garnacho,manchester united,FW,0.0014230521161951
Mateo Kovacic,Manchester City,7.09,1548,30,0.06,0.3,83.3,1.5,0.6,0.1,0.0,4.0,0.0,0.0,0.0,0.1744186046511628,mateo kovacic,manchester city,MF,0.0085557067531477
Marcus Tavernier,Bournemouth,7.08,2129,30,0.13,0.7,25.5,1.4,0.2,0.1,0.0,3.0,0.0,0.0,0.1690934711131987,0.2959135744480977,marcus tavernier,bournemouth,MF,0.0054075531378584
Marcus Tavernier,Bournemouth,7.08,2129,30,0.13,0.7,25.5,1.4,0.2,0.1,0.0,3.0,0.0,0.0,0.1690934711131987,0.2959135744480977,marcus tavernier,bournemouth,FW,0.0007772020725388
Vitaly Janelt,Brentford,7.08,3069,38,0.03,0.2,30.6,1.1,1.1,0.3,0.0,8.0,0.0,0.0,0.0879765395894428,0.1466275659824047,vitaly janelt,brentford,DF,0.0017149150476327
Vitaly Janelt,Brentford,7.08,3069,38,0.03,0.2,30.6,1.1,1.1,0.3,0.0,8.0,0.0,0.0,0.0879765395894428,0.1466275659824047,vitaly janelt,brentford,MF,0.0066494550823105
Ryan Christie,Bournemouth,7.08,2918,37,0.0,0.4,29.8,1.4,1.6,0.3,0.0,6.0,0.0,1.0,0.1542152159013022,0.3084304318026045,ryan christie,bournemouth,MF,0.0087454164888943
Yoane Wissa,Brentford,7.07,2508,34,0.43,0.9,11.6,0.6,0.3,0.1,0.0,7.0,0.0,0.0,0.1076555023923444,0.2511961722488038,yoane wissa,brentford,MF,0.0006149753833959
Yoane Wissa,Brentford,7.07,2508,34,0.43,0.9,11.6,0.6,0.3,0.1,0.0,7.0,0.0,0.0,0.1076555023923444,0.2511961722488038,yoane wissa,brentford,FW,0.0154632565779039
Tyrick Mitchell,Crystal Palace,7.07,3208,37,0.06,0.1,25.1,1.7,0.7,0.3,0.0,6.0,0.0,0.0,0.0841645885286783,0.1402743142144638,tyrick mitchell,crystal palace,DF,0.0064630625314448
Tyrick Mitchell,Crystal Palace,7.07,3208,37,0.06,0.1,25.1,1.7,0.7,0.3,0.0,6.0,0.0,0.0,0.0841645885286783,0.1402743142144638,tyrick mitchell,crystal palace,MF,0.0038854690163086
Willy Boly,Nottingham Forest,7.07,1443,20,0.12,0.4,29.4,1.8,1.6,1.3,0.0,1.0,1.0,0.0,0.0623700623700623,0.2494802494802495,willy boly,nottingham forest,DF,0.0078170352750017
Alex Iwobi,Fulham,7.06,2342,32,0.19,0.8,31.7,0.7,0.6,0.0,0.0,2.0,0.0,0.0,0.0768573868488471,0.1921434671221178,alex iwobi,fulham,MF,0.0072989553841978
Alex Iwobi,Fulham,7.06,2342,32,0.19,0.8,31.7,0.7,0.6,0.0,0.0,2.0,0.0,0.0,0.0768573868488471,0.1921434671221178,alex iwobi,fulham,FW,0.0008378571612694
Boubacar Kamara,Aston Villa,7.06,1659,20,0.0,0.1,49.6,1.6,1.1,0.4,0.0,7.0,1.0,0.0,0.0542495479204339,0.0542495479204339,boubacar kamara,aston villa,MF,0.0080586017583436
Dominic Solanke,Bournemouth,7.05,3331,38,0.51,1.0,10.6,0.3,0.2,0.1,0.0,3.0,0.0,0.0,0.0810567397178024,0.0810567397178024,dominic solanke,bournemouth,FW,0.0240982442112189
Harvey Elliott,Liverpool,7.05,1336,34,0.2,1.1,53.4,1.1,0.4,0.0,0.0,2.0,0.0,0.0,0.404191616766467,0.3368263473053892,harvey elliott,liverpool,MF,0.0043384574269159
Harvey Elliott,Liverpool,7.05,1336,34,0.2,1.1,53.4,1.1,0.4,0.0,0.0,2.0,0.0,0.0,0.404191616766467,0.3368263473053892,harvey elliott,liverpool,FW,0.0015501711685697
Moisés Caicedo,Chelsea,7.05,2872,35,0.03,0.1,59.7,1.4,1.2,0.8,0.0,11.0,0.0,1.0,0.0940111420612813,0.1253481894150417,moises caicedo,chelsea,MF,0.0121535892857555
Callum Hudson-Odoi,Nottingham Forest,7.04,1854,29,0.39,1.0,26.8,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0485436893203883,0.1941747572815533,callum hudson-odoi,nottingham forest,MF,0.0043737052991542
Callum Hudson-Odoi,Nottingham Forest,7.04,1854,29,0.39,1.0,26.8,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0485436893203883,0.1941747572815533,callum hudson-odoi,nottingham forest,FW,0.0011509352849904
Amadou Onana,Everton,7.04,2090,30,0.09,0.3,37.4,1.6,0.9,0.3,0.0,5.0,0.0,1.0,0.0,0.1722488038277512,amadou onana,everton,MF,0.005130304615105
Aaron Wan-Bissaka,Manchester United,7.03,1781,22,0.0,0.1,34.9,1.3,2.1,0.8,0.0,4.0,0.0,1.0,0.1010668163952835,0.0505334081976417,aaron wan-bissaka,manchester united,DF,0.0079046837679781
Cody Gakpo,Liverpool,7.03,1644,35,0.44,1.3,23.2,0.9,0.8,0.2,0.0,1.0,0.0,0.0,0.2737226277372263,0.2737226277372263,cody gakpo,liverpool,MF,0.0010442116059014
Cody Gakpo,Liverpool,7.03,1644,35,0.44,1.3,23.2,0.9,0.8,0.2,0.0,1.0,0.0,0.0,0.2737226277372263,0.2737226277372263,cody gakpo,liverpool,FW,0.0103525621347722
Joachim Andersen,Crystal Palace,7.03,3416,38,0.05,0.2,45.1,0.9,1.1,0.5,0.0,7.0,0.0,0.0,0.07903981264637,0.1317330210772833,joachim andersen,crystal palace,DF,0.0112410240286339
Thiago Silva,Chelsea,7.01,2527,31,0.11,0.1,77.0,0.5,0.9,0.9,0.0,4.0,0.0,0.0,0.0356153541749109,0.1068460625247328,thiago silva,chelsea,DF,0.0106178886325657
Abdoulaye Doucouré,Everton,7.01,2637,32,0.24,0.8,23.2,0.9,0.5,0.1,0.0,7.0,0.0,1.0,0.068259385665529,0.136518771331058,abdoulaye doucoure,everton,MF,0.0019238587340103
Abdoulaye Doucouré,Everton,7.01,2637,32,0.24,0.8,23.2,0.9,0.5,0.1,0.0,7.0,0.0,1.0,0.068259385665529,0.136518771331058,abdoulaye doucoure,everton,FW,0.0121483449163785
Leandro Trossard,Arsenal,7.01,1646,34,0.66,1.2,26.1,0.9,0.4,0.1,0.0,2.0,0.0,0.0,0.0546780072904009,0.1640340218712029,leandro trossard,arsenal,MF,0.0013276298390523
Leandro Trossard,Arsenal,7.01,1646,34,0.66,1.2,26.1,0.9,0.4,0.1,0.0,2.0,0.0,0.0,0.0546780072904009,0.1640340218712029,leandro trossard,arsenal,FW,0.0210293753644754
Jordan Ayew,Crystal Palace,7.0,2549,35,0.14,0.7,23.1,1.3,0.6,0.1,0.0,7.0,1.0,0.0,0.2471557473519027,0.2471557473519027,jordan ayew,crystal palace,MF,0.0025761422751893
Jordan Ayew,Crystal Palace,7.0,2549,35,0.14,0.7,23.1,1.3,0.6,0.1,0.0,7.0,1.0,0.0,0.2471557473519027,0.2471557473519027,jordan ayew,crystal palace,FW,0.0079857763262366
Gabriel Jesus,Arsenal,7.0,1482,27,0.24,1.2,24.1,1.0,0.8,0.1,0.0,6.0,0.0,0.0,0.3036437246963563,0.3643724696356275,gabriel jesus,arsenal,FW,0.0131188908567805
Enzo Fernández,Chelsea,6.99,2214,28,0.12,0.7,63.4,0.9,0.7,0.5,0.0,7.0,0.0,1.0,0.08130081300813,0.2032520325203252,enzo fernandez,chelsea,MF,0.0099186879188789
Enzo Fernández,Chelsea,6.99,2214,28,0.12,0.7,63.4,0.9,0.7,0.5,0.0,7.0,0.0,1.0,0.08130081300813,0.2032520325203252,enzo fernandez,chelsea,FW,0.001202385523489
Willian,Fulham,6.99,2054,31,0.18,0.8,39.7,0.5,0.4,0.0,0.0,1.0,0.0,0.0,0.0876338851022395,0.2629016553067186,willian,fulham,MF,0.0050620474745105
Willian,Fulham,6.99,2054,31,0.18,0.8,39.7,0.5,0.4,0.0,0.0,1.0,0.0,0.0,0.0876338851022395,0.2629016553067186,willian,fulham,FW,0.0035669034730944
Youri Tielemans,Aston Villa,6.98,1620,32,0.11,0.3,43.3,1.1,0.8,0.2,0.0,3.0,0.0,0.0,0.3333333333333333,0.2777777777777778,youri tielemans,aston villa,MF,0.0043544506854567
Youri Tielemans,Aston Villa,6.98,1620,32,0.11,0.3,43.3,1.1,0.8,0.2,0.0,3.0,0.0,0.0,0.3333333333333333,0.2777777777777778,youri tielemans,aston villa,FW,0.0021321446460773
Marcus Rashford,Manchester United,6.98,2278,33,0.28,0.8,21.4,0.5,0.2,0.0,0.0,2.0,0.0,0.0,0.0790166812993854,0.2370500438981562,marcus rashford,manchester united,MF,0.0039140435905719
Marcus Rashford,Manchester United,6.98,2278,33,0.28,0.8,21.4,0.5,0.2,0.0,0.0,2.0,0.0,0.0,0.0790166812993854,0.2370500438981562,marcus rashford,manchester united,FW,0.004956299328173
Marc Cucurella,Chelsea,6.97,1784,21,0.0,0.2,46.2,1.9,1.1,0.7,0.0,10.0,0.0,1.0,0.100896860986547,0.0504484304932735,marc cucurella,chelsea,DF,0.0077485982806609
Raheem Sterling,Chelsea,6.97,1981,31,0.36,1.0,23.7,0.5,0.6,0.0,0.0,7.0,0.0,0.0,0.1817264008076728,0.3180212014134275,raheem sterling,chelsea,MF,0.0036169149854482
Raheem Sterling,Chelsea,6.97,1981,31,0.36,1.0,23.7,0.5,0.6,0.0,0.0,7.0,0.0,0.0,0.1817264008076728,0.3180212014134275,raheem sterling,chelsea,FW,0.003805484739905
Josh Brownhill,Burnley,6.97,2251,33,0.16,0.4,33.0,1.4,1.4,0.3,0.0,4.0,1.0,1.0,0.0799644602398933,0.0,josh brownhill,burnley,MF,0.0065333692980252
Wataru Endo,Liverpool,6.96,1719,29,0.05,0.2,60.4,1.5,1.0,0.1,0.0,10.0,0.0,0.0,0.0,0.1047120418848167,wataru endo,liverpool,MF,0.0078878970581989
